"Sr","INDEX","DATE","..MAX","..MIN","AW","..R.F","SLP","MSP","DPT","RH","VP"
"1953",42920,1974-05-10,38,20.9,17,0,939.55,1004.95,12.5,39.5,156
"1954",42920,1974-05-11,37.6,21.8,18,0,940.8,1006.3,14.85,38.5,169
"1955",42920,1974-05-12,36.3,19.8,15,0,940.25,1005.35,13.45,34.5,154.5
"1956",42920,1974-05-13,39.7,21.3,12,0,940.8,1005.8,10.85,26,130
"1957",42920,1974-05-14,39.1,21.1,17,0,940.15,1005.35,13.45,37.5,160
"1958",42920,1974-05-15,38.4,24.4,15,0,938.7,1003.65,12.85,31,149
"1959",42920,1974-05-16,38,21.7,11,0,938.4,1003.7,12.5,34,147.5
"1960",42920,1974-05-17,38.2,21,10,0.2,938.8,1004.05,16.4,44.5,186.5
"1961",42920,1974-05-18,38.2,22.5,15,0,938,1003.3,17.4,48.5,201
"1962",42920,1974-05-19,37.3,21.8,18,0,938.1,1004.1,17.8,54.5,204
"1963",42920,1974-05-20,37.5,21.5,16,0.7,939.8,1006,18.65,58,215.5
"1964",42920,1974-05-21,36.3,18.8,17,19.3,940.35,1007.25,18.3,67.5,210.5
"1965",42920,1974-05-22,36.1,22,12,2.1,938.25,1003.9,18.3,50,211
"1966",42920,1974-05-23,36.4,22.5,16,0.9,937.5,1002.8,19.7,54,226.5
"1967",42920,1974-05-24,36.3,23.3,18,0,939,1005.55,19.65,67.5,227.5
"1968",42920,1974-05-25,34.6,18,16,1,937.75,1003.85,16.35,50.5,186
"1969",42920,1974-05-26,34.3,19,23,5.6,937.25,1003.4,19.1,62,221
"1970",42920,1974-05-27,32,20.6,18,0.1,938.4,1005,21.35,78,254.5
"1971",42920,1974-05-28,27.6,22,15,13.6,937.2,1003.15,20.7,66.5,244.5
"1972",42920,1974-05-29,32.6,22,14,0,937.45,1003.25,17.5,43,200
"1973",42920,1974-05-30,33.4,22.1,13,0,936.6,1002.25,18.8,56.5,217.5
"1974",42920,1974-05-31,34,22,18,0,936.55,1002.25,18.65,55.5,215
"1975",42920,1974-06-01,34.1,22.4,16,0,936.55,1002.4,19.55,62,227.5
"1976",42920,1974-06-02,32.9,22.9,18,0,936.65,1002.55,18.9,56.5,218.5
"1977",42920,1974-06-03,33.4,23.5,14,0,938.2,1003.95,18.45,54,213
"1978",42920,1974-06-04,33.6,22.6,15,0,939.85,1005.75,17.65,52.5,204
"1979",42920,1974-06-05,33.7,22.2,18,0,939.8,1005.7,17.65,51.5,202
"1980",42920,1974-06-06,34.2,22,18,0,939.1,1005.05,18.2,54.5,209
"1981",42920,1974-06-07,33.4,21,16,0,938.85,1004.8,18.85,57,218
"1982",42920,1974-06-08,34,23.5,21,0,938.2,1004.05,19.6,60.5,228
"1983",42920,1974-06-09,33.3,22.6,20,0.8,936.6,1002.3,18.85,56.5,218
"1984",42920,1974-06-10,34.7,23,21,0,937,1002.55,18.2,53,210
"1985",42920,1974-06-11,35.3,21.5,20,0,936.85,1002.55,19.2,53.5,222.5
"1986",42920,1974-06-12,34.5,22.8,23,0,936.45,1002.05,17.45,50.5,200
"1987",42920,1974-06-13,34.1,23,25,0,937.15,1002.8,18.9,56,218.5
"1988",42920,1974-06-14,34.1,23.4,23,0,936.7,1002.5,18.95,57,220
"1989",42920,1974-06-15,34,23.5,24,0,934,999.65,19.4,60.5,226
"1990",42920,1974-06-16,33.9,23.1,24,0,933.25,998.9,18.3,58,212
"1991",42920,1974-06-17,33.2,23.6,25,0,935.1,1001.2,18.9,61,218.5
"1992",42920,1974-06-18,32.3,22.6,26,0,937.45,1002.85,20.25,63.5,237.5
"1993",42920,1974-06-19,31.4,22.4,25,0.3,936.25,1002.1,19.9,61,232
"1994",42920,1974-06-20,32.8,23.2,24,0,934.9,1000.55,20.05,61,235
"1995",42920,1974-06-21,32.8,22.9,23,0.1,936.4,1002.3,20.1,61.5,235.5
"1996",42920,1974-06-22,33.4,23.2,24,0,937.2,1003.05,20.7,62,244.5
"1997",42920,1974-06-23,33.5,22.8,21,0,936.9,1002.7,19.65,59,228.5
"1998",42920,1974-06-24,33.1,22.5,20,0.2,936.15,1002.35,21.25,72.5,252.5
"1999",42920,1974-06-25,35.1,22.2,18,0.2,935.55,1001.4,20.4,64,240
"2000",42920,1974-06-26,34.1,23.2,17,0,935.15,1001.5,19.95,71,233.5
"2001",42920,1974-06-27,33.1,22,10,0.5,936.3,1002.7,21.95,78.5,264
"2002",42920,1974-06-28,32.4,20.6,7,40.4,934.3,1000.85,21.6,87.5,258
"2003",42920,1974-06-29,32.5,21.5,5,0,933.75,1000.4,20.85,66.5,246.5
"2004",42920,1974-06-30,31.2,22.4,2,0.2,935.35,1001,21.55,76,257
"2005",42920,1974-07-01,29.8,22.4,11,0,935.8,1004.15,20.75,73,245
"2006",42920,1974-07-02,30.5,20.9,14,0,934.9,1001.2,19.6,70,228
"2007",42920,1974-07-03,29.7,21.6,16,0.4,932.5,998.9,21.5,81,256.5
"2008",42920,1974-07-04,29.4,21.5,6,4.9,933.6,1000.5,21.65,94,258.5
"2009",42920,1974-07-05,27.5,21.5,13.3,3,933.85,1000.05,21.15,76.5,251.5
"2010",42920,1974-07-06,30.2,20.4,8,0.3,934,1000.25,20.9,75,247
"2011",42920,1974-07-07,30.9,22.3,13,0,933.9,999.75,20.15,65,236
"2012",42920,1974-07-08,30.9,22.1,14,0,934.5,1000.6,20.55,71,242
"2013",42920,1974-07-09,30.4,21.5,16,0,934.6,1000.9,19.7,69.5,230
"2014",42920,1974-07-10,31.2,21,17,0,933.95,1000.3,20.25,75,237.5
"2015",42920,1974-07-11,28.1,22.4,13,0,932.95,999.25,20.45,76.5,240.5
"2016",42920,1974-07-12,27.2,21.7,14,1.5,932.1,998.9,21.35,91.5,246.5
"2017",42920,1974-07-14,28.5,22.3,24,0,934.25,1000.75,21,80.5,249
"2018",42920,1974-07-15,26.3,22.2,24,1.1,934.85,1001.1,20.95,74.5,248
"2019",42920,1974-07-16,29.4,22,24,0,937.1,1003.7,20.85,78.5,246.5
"2020",42920,1974-07-17,29.7,22,20,0.2,937.8,1004.2,20.65,72,243.5
"2021",42920,1974-07-18,30.3,22,NA,0,937.9,1004.3,20.3,70,238.5
"2022",42920,1974-07-19,30.2,22.2,18,0,935.7,1002.2,19.45,68,226
"2023",42920,1974-07-20,29,22.3,21,0,934.5,1000.7,19.35,68,224.5
"2024",42920,1974-07-21,28.9,21.6,15,0.5,934.65,1001.1,21,78,249
"2025",42920,1974-07-22,29.5,21.9,NA,1.1,935.55,1002.25,21.65,87.5,258.5
"2026",42920,1974-07-23,28.2,21.7,NA,0,935,1001.65,21.65,86,258.5
"2027",42920,1974-07-24,30,21.6,15,1.2,933.3,999.55,20.4,75,239.5
"2028",42920,1974-07-25,31.4,22,19,0,933.95,1000.25,20.6,74,242.5
"2029",42920,1974-07-26,29.8,22,18,0,935.55,1001.75,20.55,72,232
"2030",42920,1974-07-27,30,22.3,17,0,935.9,1002.1,21.2,75,251.5
"2031",42920,1974-07-28,28.4,21.8,14,0,935.65,1001.8,20.9,71.5,247
"2032",42920,1974-07-29,31.5,22.4,12,0,935.55,1001.95,21,76.5,248.5
"2033",42920,1974-07-30,31.3,22,10,0,933.85,1000.05,20.45,73,240.5
"2034",42920,1974-07-31,28.7,20.3,7,18.3,933.6,1000.25,21.9,90.5,259.5
"2035",42920,1974-08-01,30.4,21.4,6,20.4,934.65,1001.4,22.25,94.5,268
"2036",42920,1974-08-02,30.1,21.2,8,23.6,935.9,1002.65,21.7,88,259
"2037",42920,1974-08-03,29,21.7,12,3.3,935.25,1001.95,21.9,85.5,262.5
"2038",42920,1974-08-04,26.7,22.3,13,0.4,935.6,1002.25,21.15,83.5,251
"2039",42920,1974-08-05,28.1,21.4,17,1,936.8,1003.6,21,82,249
"2040",42920,1974-08-06,26.6,21.2,21,2.9,936.7,1003.7,20.85,89,246.5
"2041",42920,1974-08-07,27.6,20.5,24,6.8,935.65,1002.55,20.9,88.5,247.5
"2042",42920,1974-08-08,26.2,21,24,5.4,935.9,1002.9,21.15,88.5,251
"2043",42920,1974-08-09,27.6,21.2,19,0.5,935.5,1001.9,21.4,79.5,254.5
"2044",42920,1974-08-10,28,21.3,17,1,935.2,1001.75,21.1,82,250.5
"2045",42920,1974-08-11,29,21.2,13,0,934.3,1001.05,21.1,86,250
"2046",42920,1974-08-12,27.6,21.2,17,1.1,935.35,1002.15,20,82.5,234
"2047",42920,1974-08-13,25.9,21.4,16,0.3,936.65,1003.55,21.4,86,255
"2048",42920,1974-08-14,27,21.3,16,0.6,936.65,1003.35,20.6,79,242.5
"2049",42920,1974-08-15,28.8,20.4,14,1.7,934.4,1001,20.8,81.5,245.5
"2050",42920,1974-08-16,28.3,20.4,13,0.4,934.35,1001,19.35,75,225
"2051",42920,1974-08-17,29.8,20.8,19,0,934.05,1000.4,20.15,75,236
"2052",42920,1974-08-18,29.2,21,19,0,934.6,1001.15,20.25,76.5,237.5
"2053",42920,1974-08-19,28.6,21,22,0,935.4,1001.95,20,74,234
"2054",42920,1974-08-20,29.1,21,21,0,937.4,1004.2,20.15,78.5,236
"2055",42920,1974-08-21,28,20,19,0.2,938.95,1005.8,20.45,78,240.5
"2056",42920,1974-08-22,29.1,20.6,19,1.5,938.95,1005.95,20.3,79,238.5
"2057",42920,1974-08-23,28.4,20.4,18,0.5,940,1007.25,20.55,87.5,242
"2058",42920,1974-08-24,28.4,21,18,1.2,939.25,1006.2,19.65,76.5,229
"2059",42920,1974-08-25,28.1,21.4,21,0,937.9,1004.45,19.65,70,228.5
"2060",42920,1974-08-26,29.6,20.4,18,0,937.7,1004.4,19.95,75,233.5
"2061",42920,1974-08-27,29.4,21,19,0,937.5,1004.2,19.2,71,222.5
"2062",42920,1974-08-28,29.1,21,21,0,937.25,1003.85,19.15,70.5,222
"2063",42920,1974-08-29,29.4,19.9,18,0.2,937.2,1003.9,19.7,74.5,229.5
"2064",42920,1974-08-30,29,20.7,13,1.3,937.95,1004.8,20.25,81,238
"2065",42920,1974-08-31,28.1,20,12,0.7,938.8,1005.75,19.05,75.5,220.5
"2066",42920,1974-09-01,29.3,19.7,14,0.5,939,1006.1,19.75,77.5,230
"2067",42920,1974-09-02,29.3,20,15,0.2,939.55,1006.4,19.35,73,224.5
"2068",42920,1974-09-03,29.2,19.9,19,0,940.15,1006.85,18.65,67.5,215
"2069",42920,1974-09-04,30.4,19,15,0,941.5,1008.5,18.8,71,216.5
"2070",42920,1974-09-05,30.6,19,12,0,941.3,1007.95,19.1,66.5,221
"2071",42920,1974-09-06,31.3,19.3,13,0,941.4,1008,18.3,61.5,210.5
"2072",42920,1974-09-07,31.4,18.3,12,0,940.7,1007.3,18.05,64.5,207.5
"2073",42920,1974-09-08,31.3,18.7,12,0,940.65,1007,19.1,63.5,221
"2074",42920,1974-09-09,31,18,13,0,940.75,1007.35,19.4,69,225.5
"2075",42920,1974-09-10,31,19.5,15,0,939.55,1006.15,18.95,65.5,217
"2076",42920,1974-09-11,31.2,19.9,15,0,940.25,1006.8,19.55,69,227
"2077",42920,1974-09-12,31.9,20.1,12,0,940.7,1008.15,20.15,86,236
"2078",42920,1974-09-13,31.3,20.5,11,45.3,940,1006.45,21.65,75.5,258.5
"2079",42920,1974-09-14,31.4,21.3,10,0.2,939.3,1005.55,20.85,70.5,247.5
"2080",42920,1974-09-15,34,20.5,6,0,937.5,1003.55,19.35,62,225.5
"2081",42920,1974-09-16,34.9,21.6,4,0,937.9,1003.9,19.2,60,223
"2082",42920,1974-09-17,34,21.5,6,0.5,939.3,1005.35,20.85,66.5,246.5
"2083",42920,1974-09-18,34,21.8,7,6.1,940.4,1007.45,21.3,86,253.5
"2084",42920,1974-09-19,33.1,20,5,2.5,938.3,1004.75,17.9,63.5,208
"2085",42920,1974-09-20,32.5,21,2,0,937.1,1003.9,21,82.5,248.5
"2086",42920,1974-09-21,33.3,20.9,7,2.4,938.3,1004.15,20,67,234
"2087",42920,1974-09-22,31.9,21.8,6,10.7,939.85,1006.2,21.2,72,252
"2088",42920,1974-09-23,31.2,20.6,8,0,940.05,1007.9,21.15,79,251
"2089",42920,1974-09-24,30.2,19.6,9,0,938.8,1005.4,19.8,73,231.5
"2090",42920,1974-09-25,30.5,21,8,0.7,937.8,1004.35,20.3,73.5,238
"2091",42920,1974-09-26,30.5,21.5,5,34.7,938.15,1007.5,20.9,76,247.5
"2092",42920,1974-09-27,30.8,21.2,6,0,938.5,1005.35,22.4,90,270.5
"2093",42920,1974-09-28,32,20.7,5,14.6,936.4,1002.85,22.25,81.5,268
"2094",42920,1974-09-29,31.9,22,6,0.3,936.5,1003.2,22.35,87.5,270
"2095",42920,1974-09-30,30.9,21.3,7,15.3,937.65,1004.8,21.15,90.5,251
"2096",42920,1974-10-01,27.4,21.4,2,3.8,939.65,1006.45,20.85,79,246.5
"2097",42920,1974-10-02,29.5,20.5,4,0.8,939.5,1006.15,21.05,79.5,249.5
"2098",42920,1974-10-03,31,21,1,0,940.35,1007.55,21.2,87.5,253
"2099",42920,1974-10-04,32.3,20.4,4,1.5,939.75,1006.5,21,79.5,249
"2100",42920,1974-10-05,31.7,18.5,1,0,940.45,1006.95,20.4,58.5,178.5
"2101",42920,1974-10-06,32,17.8,6,0,940.55,1007.05,18.6,67,216
"2102",42920,1974-10-07,32.6,17.7,7,0,940.1,1006.25,18.9,76,218
"2103",42920,1974-10-08,33.3,17.8,7,0,939.2,1005.7,19.45,68,226.5
"2104",42920,1974-10-09,33.8,21.8,9,0,938.65,1005.25,21.65,78.5,258.5
"2105",42920,1974-10-10,33.5,19.8,6,33.4,937.95,1004.5,21.5,81.5,256.5
"2106",42920,1974-10-11,28.9,21.3,12,32.7,938.6,1005.7,21.65,91.5,259
"2107",42920,1974-10-12,28.1,20.4,7,8.1,938.4,1005.35,21,81.5,248.5
"2108",42920,1974-10-13,29.9,18,9,0.5,938.9,1005,17.2,53,196
"2109",42920,1974-10-14,30.2,16.8,9,0,940.05,1007,16.45,66.5,191.5
"2110",42920,1974-10-15,30.9,17.5,9,0,938.45,1005.2,18.8,72,217
"2111",42920,1974-10-16,31,21.2,11,2.3,937.9,1005,21.75,90,260.5
"2112",42920,1974-10-17,25.7,21.8,4,29.6,938.9,1006,21.55,86.5,257
"2113",42920,1974-10-18,27.2,20.5,8,3,942.05,1009.1,19.45,74,226
"2114",42920,1974-10-19,28.7,18.6,7,0.2,942.35,1009.65,20.65,83,251
"2115",42920,1974-10-20,30.2,21.5,10,0.9,940.7,1007.95,20.6,77.5,242
"2116",42920,1974-10-21,31.7,20.5,4,1.4,940.95,1007.7,20.75,76,245
"2117",42920,1974-10-22,31.2,19.5,2,1.6,941.25,1007.95,20.25,70.5,237.5
"2118",42920,1974-10-23,32.1,19.9,4,0,940.1,1007,19.6,71.5,228
"2119",42920,1974-10-24,31.5,18.7,5,0.6,941.7,1009.2,20,83.5,233.5
"2120",42920,1974-10-25,30.9,19.5,4,19.2,943.45,1010.6,19.45,74,226.5
"2121",42920,1974-10-26,30.3,16.4,3,0,943.45,1011.45,16.25,59.5,185.5
"2122",42920,1974-10-27,31,14.2,2,0,944.15,1011.5,10.15,47,128
"2123",42920,1974-10-28,30.8,14,3,0,944.15,1011.55,11.85,53,141
"2124",42920,1974-10-29,31.2,15.4,5,0,943.3,1010.5,14.05,58,164.5
"2125",42920,1974-10-30,30.4,13.6,4,0,943.5,1010.7,11.8,49,140
"2126",42920,1974-10-31,30.5,12.4,NA,0,943.4,1010.75,10.4,47.5,127.5
"2127",42920,1974-11-01,30.6,12.4,5,0,944.7,1012,9.85,42,123
"2128",42920,1974-11-02,29.9,12.4,4,0,945.5,1012.95,8.15,40.5,111
"2129",42920,1974-11-03,29.5,11.9,3,0,946.35,1013.8,6.55,35,99
"2130",42920,1974-11-04,29.9,11.8,4,0,946.1,1013.7,5.65,33.5,92
"2131",42920,1974-11-05,30.3,11,6,0,946.1,1013.7,2.75,27,75
"2132",42920,1974-11-06,29.2,9,6,0,946.25,1014.25,3.5,32,80
"2133",42920,1974-11-07,29.3,8.9,4,0,944.75,1012.55,3.25,31.5,78
"2134",42920,1974-11-08,29.8,8,4,0,943.8,1011.55,1.35,27.5,68
"2135",42920,1974-11-09,30.4,7.8,5,0,943.6,1011.1,2.2,28,72
"2136",42920,1974-11-10,31,9.5,4,0,943.6,1011.05,3.7,29.5,79.5
"2137",42920,1974-11-11,31,8.8,3,0,943.25,1010.8,4.3,31.5,83.5
"2138",42920,1974-11-12,31.2,10.4,6,0,944.55,1012.2,4.8,32,81
"2139",42920,1974-11-13,30.2,10.5,1,0,944.75,1012.45,5.7,33,91.5
"2140",42920,1974-11-14,29.7,9.4,3,0,945.3,1013.05,5.5,35,90
"2141",42920,1974-11-15,29.7,10,4,0,945.55,1013.15,6.7,35,98
"2142",42920,1974-11-16,30.1,10,3,0,945.2,1012.85,7.6,40,104
"2143",42920,1974-11-17,30.1,9.2,3,0,946.35,1014.5,4.35,33,83.5
"2144",42920,1974-11-18,29,7.7,5,0,945.8,1013.75,1.8,27.5,67
"2145",42920,1974-11-19,28.1,7.5,6,0,945,1013.15,3.3,32.5,77.5
"2146",42920,1974-11-20,29,9.5,4,0,945.4,1012.7,10.2,38.5,125.5
"2147",42920,1974-11-21,30.2,14.2,6,0,946.15,1013.4,12.2,52.5,142
"2148",42920,1974-11-22,29.4,12.2,6,0,946.25,1014.25,6.6,35,97
"2149",42920,1974-11-23,28.9,9.4,5,0,944.7,1012.8,3.9,34.5,80.5
"2150",42920,1974-11-24,30.1,8.5,4,0,942.85,1011,6.25,42,95
"2151",42920,1974-11-25,30.4,9.1,5,0,942.45,1010.15,7.5,42.5,104
"2152",42920,1974-11-26,30.1,10.8,5,0,943.15,1010.85,8.25,42.5,109
"2153",42920,1974-11-27,29.4,10,4,0,942.1,1009.95,8.2,43.5,108.5
"2154",42920,1974-11-28,29.3,10.4,4,0,942.1,1010.05,6.45,44,98
"2155",42920,1974-11-29,28,8.3,6,0,944.65,1013.1,3.55,35.5,79.5
"2156",42920,1974-11-30,27.5,8.6,4,0,945.85,1014.15,3.55,32,64.5
"2157",42920,1974-12-01,26.9,7.9,4,0,943.9,1012.05,5.2,37.5,89.5
"2158",42920,1974-12-02,28.1,9.7,4,0,943.75,1011.95,7.65,45,105
"2159",42920,1974-12-03,28.3,9.6,6,0,943.2,1011.5,9.45,57.5,118.5
"2160",42920,1974-12-04,27.9,11.3,5,0,942.95,1011.2,12.8,69,148
"2161",42920,1974-12-05,26.7,10.3,4,0,943.9,1011.95,11.55,57,136
"2162",42920,1974-12-06,28.1,13.2,3,0,946.2,1013.9,9.75,44.5,129.5
"2163",42920,1974-12-07,28.6,11.2,5,0,946.5,1014.75,7.75,43.5,105
"2164",42920,1974-12-08,28.6,10,3,0,944.7,1012.6,8.45,46.5,110.5
"2165",42920,1974-12-09,29.3,10.5,3,0,944.9,1013.05,9.35,51,117.5
"2166",42920,1974-12-10,28.7,9.3,3,0,946.65,1014.9,7.5,45,103.5
"2167",42920,1974-12-11,29.1,10.3,3,0,947.15,1015.4,7.9,46.5,110
"2168",42920,1974-12-12,28.4,9.5,4,0,948.15,1016.5,7.2,40.5,97.5
"2169",42920,1974-12-13,27.6,8.4,4,0,947.85,1016.05,3.45,32,78.5
"2170",42920,1974-12-14,27.7,7.7,4,0,945.65,1014.25,4.55,37.5,84.5
"2171",42920,1974-12-15,31.4,10,5,0,944.8,1013.3,5,41,87.5
"2172",42920,1974-12-16,29.7,7.9,6,0,945.8,1014.35,5.85,43,87.5
"2173",42920,1974-12-17,29.5,9.3,6,0,947.35,1015.75,12.6,62,146
"2174",42920,1974-12-18,28.4,8.3,7,0,947.25,1016,8.3,53,110
"2175",42920,1974-12-19,27.3,9.1,3,0,947.95,1016.5,8.3,49,109.5
"2176",42920,1974-12-20,26.9,10.3,4,0,948.55,1017.1,9,51,107
"2177",42920,1974-12-21,26,8.1,6,0,948.4,1016.85,8.25,45.5,109
"2178",42920,1974-12-22,27,10,4,0,946.85,1015.3,7.45,46.5,103.5
"2179",42920,1974-12-23,28.2,9.4,4,0,946.3,1014.9,7.25,46.5,101.5
"2180",42920,1974-12-24,27.2,7.6,4,0,947.4,1016.25,4.55,43.5,84.5
"2181",42920,1974-12-25,26.2,5.6,4,0,947.7,1016.65,2.1,35.5,71
"2182",42920,1974-12-26,26.6,7.2,6,0,947.45,1016.45,1.75,35,69.5
"2183",42920,1974-12-27,27,7.2,6,0,947.95,1016.5,0.15,27.5,62
"2184",42920,1974-12-28,27.9,9.1,5,0,948.85,1017.3,2.55,32.5,73.5
"2185",42920,1974-12-29,29.3,7.6,5,0,947.45,1015.45,2.85,34,75.5
"2186",42920,1974-12-30,30.8,7.8,3,0,945.1,1013.5,1.3,33.5,67.5
"2187",42920,1974-12-31,30.4,7.4,4,0,943.85,1012.15,2.85,34,75.5
"2188",42920,1975-01-01,30.1,12.8,8,0,944.4,1012.9,7.4,31.5,104
"2189",42920,1975-01-02,25.7,2.8,9,0,945.7,1015.15,0,36,61
"2190",42920,1975-01-03,24.4,6.9,7,0,945.75,1014.8,2.7,39,75
"2191",42920,1975-01-04,25.2,8.4,6,0,946.75,1015.6,6.95,46,101.5
"2192",42920,1975-01-05,25.5,7.1,6,0,947.3,1015.95,4.6,38.5,86
"2193",42920,1975-01-06,27.4,7.1,2,0,947,1015.8,4.75,43,85.5
"2194",42920,1975-01-07,27.3,6.5,4,0,945.45,1014.05,2.15,36,71.5
"2195",42920,1975-01-08,29.4,8.2,2,0,944.15,1012.45,2.65,33.5,74
"2196",42920,1975-01-09,29.9,8.5,5,0,943.95,1012.7,2.15,37.5,71.5
"2197",42920,1975-01-10,26.9,7.4,6,0,943.35,1012.05,2.55,40,73.5
"2198",42920,1975-01-11,26.1,7,5,0,943.7,1012.45,1.8,37.5,70
"2199",42920,1975-01-12,27,6.4,5,0,945,1014,2.75,39.5,74.5
"2200",42920,1975-01-13,26.3,8.1,3,0,946.05,1014.45,2.25,31.5,72
"2201",42920,1975-01-14,26.5,7.1,3,0,947.05,1015.8,3.05,36.5,76
"2202",42920,1975-01-15,26.7,7.5,4,0,947.55,1016.45,2.55,37,73.5
"2203",42920,1975-01-16,27.5,8.4,4,0,946.8,1015.3,2.6,33,74
"2204",42920,1975-01-17,27.6,7.6,6,0,946.2,1014.75,2.5,34.5,73.5
"2205",42920,1975-01-18,26.5,7.1,4,0,946.25,1014.8,1.1,30,66
"2206",42920,1975-01-19,26.1,6.6,5,0,946.35,1015.1,1.25,32.5,67
"2207",42920,1975-01-20,29.1,9.5,3,0,945.8,1014.3,5.1,37.5,89.5
"2208",42920,1975-01-21,30.2,13.6,6,0,943.9,1011.6,9.55,42,120
"2209",42920,1975-01-22,30.5,13,8,0,944.45,1012.45,7,31.5,66.5
"2210",42920,1975-01-23,29,11,6,0,945.4,1013.75,8.9,52,115
"2211",42920,1975-01-24,26.3,6.5,8,0,946.6,1015.6,4.8,46.5,86.5
"2212",42920,1975-01-25,26.6,9.3,3,0,948.05,1016.75,5.6,41,91.5
"2213",42920,1975-01-26,27,10.8,6,0,948.25,1016.55,6.4,40.5,97
"2214",42920,1975-01-27,28.6,13.3,3,0,947.5,1015.7,9.35,48,118.5
"2215",42920,1975-01-28,30.1,12.7,4,0,946.85,1014.85,7.2,41,101
"2216",42920,1975-01-29,30.5,11.5,4,0,946.65,1014.45,6.2,37,94.5
"2217",42920,1975-01-30,30.4,12.3,4,0,945.95,1013.7,5.45,36.5,91
"2218",42920,1975-01-31,32.3,13.4,7,0,943.35,1011.2,6.2,36.5,95
"2219",42920,1975-02-01,30.1,12,11,0,943.1,1011.3,6.8,50.5,105.5
"2220",42920,1975-02-02,27,8.9,9,0,944.25,1011.3,2.75,31.5,74.5
"2221",42920,1975-02-03,27.4,10.5,5,0,942.85,1010.8,2.2,32.5,71.5
"2222",42920,1975-02-04,30.2,10.3,5,0,942.45,1010,4.1,32.5,81.5
"2223",42920,1975-02-05,30.8,14,7,0,942.8,1010.25,4.85,31,88
"2224",42920,1975-02-06,31.5,10.6,8,0,943.85,1011.75,8.05,46,108
"2225",42920,1975-02-07,31.1,11.2,9,0,945.7,1013.7,5.35,41,91
"2226",42920,1975-02-08,30.6,11.5,4,0,946.5,1014.15,2.55,27.5,73.5
"2227",42920,1975-02-09,33,12.8,7,0,945.5,1013.1,3.05,28.5,76
"2228",42920,1975-02-10,32.5,12.3,9,0,944.85,1012.2,3.9,32,82
"2229",42920,1975-02-11,32.1,14.5,6,0,944.9,1012.45,7.35,36.5,103
"2230",42920,1975-02-12,30.6,12.1,8,0,943.9,1011.35,7.6,39,104.5
"2231",42920,1975-02-13,32.1,15.6,7,0,943.5,1010.95,8,40.5,107.5
"2232",42920,1975-02-14,31,15.7,16,0,943.5,1011.6,7.25,49,109.5
"2233",42920,1975-02-15,26.2,6.8,12,0,945.3,1013.9,-4.2,29.5,50.5
"2234",42920,1975-02-16,27.2,5,8,0,945.85,1014.45,-11.6,16.5,29
"2235",42920,1975-02-17,28.3,8.4,4,0,945.7,1013.9,-1.1,23.5,56
"2236",42920,1975-02-18,28.7,12.3,6,0,943.85,1011.45,-0.2,22.5,60
"2237",42920,1975-02-19,32.3,10.5,9,0,944.2,1012.25,4,33,81.5
"2238",42920,1975-02-20,31.3,8.4,10,0,946,1014.15,-1.25,24,55
"2239",42920,1975-02-21,28.9,8.4,5,0,945,1012.55,-1,20,56
"2240",42920,1975-02-22,31.2,11.6,9,0,945.75,1013.45,1.6,25.5,68.5
"2241",42920,1975-02-23,29.5,14.2,6,0,946.2,1013.8,11.8,49.5,138.5
"2242",42920,1975-02-24,30.1,15,7,0,945.25,1012.35,9.85,40,121.5
"2243",42920,1975-02-25,32.4,16,7,0,944.05,1010.95,9.5,36.5,118.5
"2244",42920,1975-02-26,33.3,15.9,7,0,943.5,1010.3,6.3,30,95.5
"2245",42920,1975-02-27,34.6,15,7,0,943.35,1010.3,4.25,28,82.5
"2246",42920,1975-02-28,33.8,15.2,6,0,943.35,1009.9,2.45,22,73
"2247",42920,1975-03-01,36.2,16.6,10,0,944.3,1010.85,1.05,18.5,66.5
"2248",42920,1975-03-02,34.2,14.5,10,0,943.2,1009.85,0.85,17.5,65
"2249",42920,1975-03-03,35,13,7,0,942.25,1008.55,2.05,21,71.5
"2250",42920,1975-03-04,35.1,16,6,0,941.65,1007.95,4,23,81.5
"2251",42920,1975-03-05,36,19.4,7,0,941.3,1007.15,7.65,26,105
"2252",42920,1975-03-06,36,16.4,9,0,941.55,1008.1,8.6,34,111.5
"2253",42920,1975-03-07,34.3,15.7,11,0,940.95,1007.6,4.5,26.5,84.5
"2254",42920,1975-03-08,34,14.4,8,0,940.1,1006.85,1.6,22.5,69
"2255",42920,1975-03-09,34.9,14.7,10,0,941.5,1008.4,6.1,54.5,96.5
"2256",42920,1975-03-10,32.1,14.2,11,0,942.4,1009.85,9.8,50.5,126.5
"2257",42920,1975-03-11,31,12.4,15,0,943.45,1011.05,11,52.5,132.5
"2258",42920,1975-03-12,29,9.5,13,0,943.45,1010.9,4.7,39.5,89.5
"2259",42920,1975-03-13,30.6,14.2,6,0,942.95,1009.2,2.2,17,52
"2260",42920,1975-03-14,33.5,15.7,7,0,942.5,1008.8,2.35,19,73
"2261",42920,1975-03-15,37,16.5,10,0,942.9,1009.5,-0.7,18,58.5
"2262",42920,1975-03-16,35.1,17.5,11,0,941.1,1007.2,1.3,17.5,67
"2263",42920,1975-03-17,35.5,13.2,7,0,941.7,1008,2.5,20,73.5
"2264",42920,1975-03-18,36.6,15.2,9,0,943.05,1010,0.5,17.5,63
"2265",42920,1975-03-19,36.2,14.6,8,0,943.35,1009.35,3.25,19,77
